Back
Scratch, H1,00000760,00000448,00000436,00000424,00000000,00000000,00000000,00000000,00000000,00000000,+00458.541,+01865.332,+00479.354,+00537.980,+00667.365,+01997.657,+01178.308,+02049.424,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,
Scratch, H2,00000972,00000696,00000484,00000456,00000448,00000000,00000000,00000000,00000000,00000000,+01481.933,+02866.013,+00884.146,+04283.333,+01281.512,+03700.349,+00858.422,+03837.487,+01294.190,+03095.315,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,
Scratch, H3,00001132,00000764,00000676,00000668,00000632,00000624,00000580,00000560,00000540,00000540,+00423.156,+05950.613,+00413.893,+06140.486,+00433.260,+04792.015,+01340.753,+05733.999,+00684.733,+04794.265,+00449.122,+04575.777,+00415.324,+06030.709,+00705.176,+05734.954,+00443.211,+05582.469,+00467.789,+04619.154,
Scratch, H4,00000704,00000500,00000468,00000400,00000000,00000000,00000000,00000000,00000000,00000000,+02039.372,+06181.619,+02428.112,+06197.120,+02259.758,+05995.164,+01856.824,+06173.103,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,
Scratch, H5,00000772,00000772,00000660,00000624,00000620,00000428,00000404,00000000,00000000,00000000,+03362.898,+04646.967,+02765.465,+05525.570,+03682.815,+05736.154,+03060.008,+05551.859,+02991.638,+06551.726,+02786.586,+05570.060,+03304.618,+04478.154,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,
Scratch, H6,00001572,00000760,00000668,00000660,00000556,00000544,00000536,00000500,00000436,00000432,+02767.086,+02510.431,+02783.251,+02773.367,+02810.625,+02599.660,+03491.691,+02456.758,+03661.004,+03220.142,+02652.336,+02796.039,+02971.990,+03494.100,+03336.803,+04050.978,+03433.151,+02664.978,+02798.759,+02716.808,
Scratch, H7,00002552,00000600,00000416,00000000,00000000,00000000,00000000,00000000,00000000,00000000,+03683.910,+01983.778,+03471.547,+01941.456,+02655.819,+02387.637,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,
Scratch, H8,00000768,00000672,00000536,00000400,00000000,00000000,00000000,00000000,00000000,00000000,+02072.336,+02290.000,+02056.804,+02102.938,+02033.119,+02022.493,+01968.337,+02075.862,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,
Scratch, H9,00001132,00000972,00000776,00000472,00000000,00000000,00000000,00000000,00000000,00000000,+01589.855,+02403.061,+01482.357,+02865.857,+02072.660,+02289.479,+01537.056,+02799.918,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,
Shape, H10 cam1,95.685,
Shape, H11 cam2,098,
Shape, H12 cam3,096,
Shape, H13 Flash,93.332,
Shape, H14 mic,00.000,
Shape, H15 Logo,98.430,
Scratch, H15 Logo,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,
Shape, H16 Script,00.000,
Shape, H17 Lidar,70.980,
Scratch, H18 cam area,00001616,00000864,00000560,00000432,00000288,00000256,00000224,00000208,00000192,00000000,+03524.834,+00962.277,+02916.438,+01119.104,+02898.495,+01611.384,+03471.994,+01016.882,+02911.549,+01079.771,+03560.188,+00908.577,+02872.153,+01384.469,+02957.361,+01680.403,+02985.105,+01708.660,+00000.000,+00000.000,
OCR, H1,          ,99,99,99,99,99,99,99,99,99,99,
OCR, H2,          ,99,99,99,99,99,99,99,99,99,99,
OCR, H3,          ,99,99,99,99,99,99,99,99,99,99,
OCR, H4,          ,99,99,99,99,99,99,99,99,99,99,
OCR, H5,          ,99,99,99,99,99,99,99,99,99,99,
OCR, H6,          ,99,99,99,99,99,99,99,99,99,99,
OCR, H7,          ,99,99,99,99,99,99,99,99,99,99,
OCR, H8,          ,99,99,99,99,99,99,99,99,99,99,
OCR, H9,          ,99,99,99,99,99,99,99,99,99,99,
Crack, H1,+0000000.000,+0000000.000,+0000000.000,+0000000.000,+0000000.000,+0000000.000,+0000000.000,+0000000.000,+0000000.000,+0000000.000,+0000000.000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,+0000000.000,+0000000.000,+0000000.000,+0000000.000,+0000000.000,+0000000.000,+0000000.000,+0000000.000,+0000000.000,+0000000.000,00000.000,00000.000,00000.000,00000.000,00000.000,00000.000,00000.000,00000.000,00000.000,00000.000,
Crack, H10,000,000,000,000,000,000,000,000,000,000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,
Crack, H11,020,000,000,000,000,000,000,000,000,000,00000256,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,
Crack, All Edges,000,000,000,000,000,000,000,000,000,000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,
Crack, Camera Edges,000,000,000,000,000,000,000,000,000,000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,
Crack, H12,000,000,000,000,000,000,000,000,000,000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,
Crack, H18,021,023,000,000,000,000,000,000,000,000,00000160,00000160,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,
data_end
