Back
Scratch, H1,00000496,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,+00757.361,+01551.693,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,
Scratch, H2,00014364,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,+01445.125,+03831.344,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,
Scratch, H3,00013740,00000796,00000544,00000000,00000000,00000000,00000000,00000000,00000000,00000000,+01448.932,+04494.982,+01045.368,+05633.247,+00903.683,+05642.847,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,
Scratch, H4,00064768,00019432,00017200,00000408,00000000,00000000,00000000,00000000,00000000,00000000,+02058.920,+04235.114,+02019.985,+04704.377,+02172.910,+04581.809,+02457.930,+05970.921,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,
Scratch, H5,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,
Scratch, H6,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,
Scratch, H7,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,
Scratch, H8,00000636,00000436,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,+01998.244,+01830.936,+01952.294,+01815.211,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,
Scratch, H9,00022024,00013220,00012800,00010760,00010668,00004844,00002852,00000516,00000000,00000000,+01880.913,+03668.148,+02198.867,+03988.117,+02053.112,+03998.388,+02163.480,+03778.163,+01897.126,+03999.099,+01944.674,+03792.505,+02011.470,+03788.115,+02208.362,+03626.422,+00000.000,+00000.000,+00000.000,+00000.000,
Shape, H10 cam1,88.234,
Shape, H11 cam2,084,
Shape, H12 cam3,092,
Shape, H13 Flash,90.979,
Shape, H14 mic,90.195,
Shape, H15 Logo,95.685,
Scratch, H15 Logo,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,
Shape, H16 Script,00.000,
Shape, H17 Lidar,61.176,
Scratch, H18 cam area,00001264,00001184,00000976,00000864,00000784,00000512,00000512,00000416,00000144,00000128,+02494.041,+00603.370,+02015.547,+00659.336,+02013.533,+00612.837,+03375.467,+01108.177,+03359.763,+01067.066,+02489.763,+00561.191,+03422.013,+00853.316,+02658.224,+01488.605,+02488.652,+01511.955,+02489.263,+01496.066,
OCR, H1,          ,99,99,99,99,99,99,99,99,99,99,
OCR, H2,          ,99,99,99,99,99,99,99,99,99,99,
OCR, H3,          ,99,99,99,99,99,99,99,99,99,99,
OCR, H4,          ,99,99,99,99,99,99,99,99,99,99,
OCR, H5,          ,99,99,99,99,99,99,99,99,99,99,
OCR, H6,          ,99,99,99,99,99,99,99,99,99,99,
OCR, H7,          ,99,99,99,99,99,99,99,99,99,99,
OCR, H8,          ,99,99,99,99,99,99,99,99,99,99,
OCR, H9,          ,99,99,99,99,99,99,99,99,99,99,
Crack, H1,+0000000.000,+0000000.000,+0000000.000,+0000000.000,+0000000.000,+0000000.000,+0000000.000,+0000000.000,+0000000.000,+0000000.000,+0000000.000,00237457,00188862,00040797,00000000,00000000,00000000,00000000,00000000,00000000,00000000,+0000000.000,+0000000.000,+0000000.000,+0000000.000,+0000000.000,+0000000.000,+0000000.000,+0000000.000,+0000000.000,+0000000.000,01491.825,00579.562,00394.723,00000.000,00000.000,00000.000,00000.000,00000.000,00000.000,00000.000,
Crack, H10,031,016,011,000,000,000,000,000,000,000,00000448,00000416,00000224,00000000,00000000,00000000,00000000,00000000,00000000,00000000,
Crack, H11,029,018,022,031,024,013,012,013,012,000,00001952,00001392,00000864,00000784,00000416,00000176,00000144,00000144,00000112,00000000,
Crack, All Edges,102,000,000,000,000,000,000,000,000,000,00000692,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,
Crack, Camera Edges,000,000,000,000,000,000,000,000,000,000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,
Crack, H12,023,021,018,017,017,011,016,014,013,016,00000368,00000336,00000272,00000272,00000256,00000224,00000224,00000208,00000208,00000192,
Crack, H18,031,033,024,020,017,016,015,000,000,000,00000432,00000288,00000240,00000224,00000176,00000144,00000128,00000000,00000000,00000000,
data_end
